Title,Train Loss,Train Accuracy,Test Accuracy,Infer Accuracy
demo_nn5,0.06226377865473429,0.7036833333333333,0.730125,0.724
demo_nn5,0.055307162777582804,0.7246,0.753625,0.742
demo_nn5,0.051155091492335,0.7424,0.795375,0.791
demo_nn5,0.04839188725749652,0.7581416666666667,0.7815,0.7785
demo_nn5,0.046287104733784994,0.7712966666666666,0.8225,0.8205
demo_nn5,0.044511425917678406,0.7834444444444445,0.852875,0.851
demo_nn5,0.04307961389223734,0.7950404761904762,0.841,0.838
demo_nn5,0.04199399445255597,0.8030916666666666,0.83575,0.839
demo_nn5,0.04087628210738853,0.8089925925925926,0.83025,0.827
demo_nn5,0.039943185190359755,0.8119166666666666,0.809,0.8035
